input_dim,num_points,num_epochs,cpu_time,gpu_time
128,10000,10,0.02947680950164795,None
256,10000,10,0.017284178733825685,None
512,10000,10,0.020878314971923828,None
1024,10000,10,0.015698885917663573,None
2048,10000,10,0.024296903610229494,None
512,1000,10,0.0024881839752197267,None
512,5000,10,0.006045985221862793,None
512,10000,10,0.011261248588562011,None
512,50000,10,0.07187783718109131,None
512,100000,10,0.13658595085144043,None
512,10000,5,0.014036798477172851,None
512,10000,10,0.011751604080200196,None
512,10000,20,0.011423718929290772,None
